MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|N2O|Land Use,kt N2O/yr,6106.336894,6443.245423,7049.353532,7766.985981,8241.589437,8506.016458,8555.432907,8450.017545,8241.014837,7885.944371,7415.497543
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|NH3,Mt NH3/yr,53.31187874,55.39107836,48.90731234,52.91567946,55.23096726,55.55818774,54.61225667,52.41731271,49.91862214,47.65241966,45.77674116
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|NOx,Mt NO2/yr,117.948094,111.9327816,103.839001,100.5785448,90.41494076,83.24675042,76.87313357,71.3897063,66.60088441,61.11303456,58.00288792
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|OC,Mt OC/yr,32.78851745,32.77950042,30.18305305,28.50684013,26.60590048,24.47238535,22.23200313,19.90890565,17.42664907,15.45867034,14.60943333
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|Sulfur,Mt SO2/yr,108.4052942,100.029929,76.77994491,72.01287654,59.62224193,48.49120114,42.77010514,38.52795826,34.05862821,28.03654844,24.86680738
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|VOC,Mt VOC/yr,192.2844939,187.8003597,177.83254,174.5303578,168.278176,158.9076978,146.3981884,133.5851512,120.6558208,108.9136882,103.1314493
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy,EJ/yr,323.04,361.844,439.376,509.462,570.548,617.624,651.43,692.679,745.034,797.648,855.258
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Electricity,EJ/yr,54.195,63.735,81.841,101.675,122.516,149.894,186.58,221.066,250.753,285.914,333.849
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Gases,EJ/yr,48.188,52.536,55.759,55.901,65.069,78.688,92.978,123.696,181.494,242.21,281.913
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Heat,EJ/yr,10.958,11.543,13.453,18.274,17.623,17.574,20.09,26.692,33.335,40.535,48.421
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Hydrogen,EJ/yr,0,0,0,0,0.881,1.612,5.621,10.118,13.186,18.125,23.475
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Industry,EJ/yr,116.845,135.035,166.083,189.91,211.141,230.377,248.959,264.812,272.638,277.99,282.246
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Liquids,EJ/yr,143.412,151.216,191.497,207.714,218.022,215.694,189.297,155.887,127.487,98.416,80.363
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Residential and Commercial,EJ/yr,119.55,131.289,152.629,172.516,189.427,204.912,225.551,248.623,274.045,301.953,333.194
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Solar,EJ/yr,0.293,2.231,8.81,19.039,30.785,40.035,45.579,48.923,51.44,52.965,54.306
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Solids,EJ/yr,65.994,80.585,88.015,106.861,115.653,114.127,111.286,106.298,87.34,59.482,32.93
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Solids|Biomass,EJ/yr,38.956,44.864,48.531,53.793,56.237,56.577,55.143,50.258,35.842,22.835,16.314
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Solids|Biomass|Traditional,EJ/yr,29.321,30.503,28.322,26.171,22.467,18.018,13.089,8.091,2.702,0,0
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Solids|Coal,EJ/yr,27.038,35.721,39.484,53.068,59.416,57.55,56.143,56.04,51.498,36.647,16.616
MESSAGE-GLOBIOM,SSP2-45,World,Final Energy|Transportation,EJ/yr,86.645,95.52,120.664,147.035,169.98,182.334,176.92,179.244,198.352,217.705,239.818
MESSAGE-GLOBIOM,SSP2-45,World,GDP|PPP,billion US$2005/yr,56532.8,67524.9,101208.7,143018.8,185737,230831.4,279766.6,335699.8,396477.7,462593,535255.8
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|BC,Mt BC/yr,,,8.821519134,8.022439822,7.273981058,6.332579691,5.536410377,4.671360021,3.790080811,3.023978488,2.650956545
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|CH4|Fossil Fuels and Industry,Mt CH4/yr,,,231.4266021,230.6731714,211.0428817,190.2020864,170.0797435,165.7643301,161.7991345,166.4583058,173.050342
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|CH4|Land Use,Mt CH4/yr,,,156.6639706,168.7730736,171.7538645,166.9648524,159.2416929,150.8747096,141.108149,132.3580182,122.1025946
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|CO,Mt CO/yr,,,882.5189619,849.8934867,796.7439794,731.2692655,653.7747616,577.6097427,500.6184377,428.446884,384.9213039
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,37388.1289,40594.6763,42088.58823,42961.27293,41736.40008,37446.62215,30235.7183,20641.51367,14482.93576
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|CO2|Land Use,Mt CO2/yr,,,3259.400999,2881.386254,2164.311804,500.9171115,-1539.91525,-2211.188418,-3397.344852,-4317.122105,-4800.076969
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|F-Gases,Mt CO2-equiv/yr,,,1628.608925,1657.264793,1524.047071,1333.906106,1390.099899,1418.426628,1414.659582,1447.67105,1375.199513
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|Kyoto Gases,Mt CO2-equiv/yr,,,53936.12522,57306.41137,57729.04666,56198.55301,52290.09129,46882.45318,37826.50324,26999.88096,19963.29365
